;0;1;2;3;4;5;6;7;8;9;10;11;type
991;65318.8937691;148965.016306;67860.6434987;83407.1331485;39166.9166981;-3017.19162338;64516.6600191;-14767.2421508;1195.37947604;-6923.25993019;-224.037354901;5337.43338219;0.0
1104;-25372.6576029;-3778.76394804;19578.4452343;-3508.73960797;-7850.6693144;-3944.97353021;2723.64091591;-1242.40573431;839.439247122;459.026381371;-383.812801652;-190.518753981;0.0
727;-3219.21613203;-6549.60651552;-6890.70690171;11485.3760439;4158.60253255;-6343.36374773;-3252.29315216;-3693.12713491;2400.12582848;-2130.47722787;-1791.95205023;-395.942059423;0.0
801;-22244.5439979;1692.58971808;8334.20219978;-2197.62049752;-5650.77745032;-9370.64693926;1204.88692847;-964.938639642;2021.26101974;65.5014730026;-410.064328279;1362.51294378;1.0
911;13907.421376;13769.389083;-7147.10335136;-2438.99499804;-2187.67996112;12302.2278712;-987.402259651;-2569.55011549;-775.387346172;64.3750132903;1031.61438487;-1421.97694321;1.0
2018;-7488.2296603;-21040.3131269;13719.7948373;5248.79650971;826.877102807;8622.57128825;4695.2692683;3859.10058559;620.154078703;-1116.5104413;7427.0466977;3521.82709127;0.0
1609;-31815.6480365;-1134.81419408;18499.8560304;-14854.3911503;4290.13353958;-3697.36238241;4728.80683432;3134.36035505;-1294.20590714;-854.223449461;-749.204585329;-26.7858108795;0.0
1523;127025.357027;590.160490981;-3176.81117319;-29011.3180443;-12736.098705;-5922.7546337;1836.85667341;-774.578579614;-106.773005755;-13780.0190658;1940.13435969;7450.6905698;0.0
1608;-16777.5758407;9482.92133772;-10873.6409663;-5677.18130642;1306.11368373;-4087.68589688;3949.59209044;3912.11034199;-3133.29241185;-5613.55615092;-2313.58392565;-4796.31706698;0.0
869;-2823.7374661;-3014.7745117;-9123.04235956;6076.41305312;1461.14877381;-6559.65033154;-3517.62477331;918.380685941;-4551.56228948;-1696.61930865;4562.00789963;1258.96759078;1.0
1729;-5583.79105292;797.486603255;-6503.36493866;981.887042014;-1226.64125508;-4206.25356364;5158.21622064;2880.47801648;-2684.00765814;-535.933562071;264.5417465;-55.3348289973;0.0
